gid://shopify/Product/8024095359010|Profitec Go Espresso Machine - Yellow |YYC-SR1| - Store Demo|Profitec|OB-2507-YYC-SR1-PRO-GO-Y|1279.2
gid://shopify/Product/6993354096674|Profitec Pro 400 Espresso Machine|Profitec|PRO-400|2599
gid://shopify/Product/6990523203618|Profitec Pro 800 Espresso Machine|Profitec|PRO-800-22|4499
gid://shopify/Product/6805776465954|Profitec Pro T64 Coffee Grinder|Profitec|CG-PRO-T64|1199
gid://shopify/Product/6804051329058|Profitec Pro 500 Espresso Machine w/ Quick Steam|Profitec|SA-PRO-P500-QS|2949
gid://shopify/Product/6581125513250|Profitec Knock Drawer - Chrome|Profitec|PRO-KBD|269
gid://shopify/Product/4853953134626|Profitec Tamping Pad|Profitec|ACC-PRO-PAD|39
gid://shopify/Product/4383739772962|Profitec Pro 500 Espresso Machine w/ PID and Flow Control|Profitec|SA-PRO-PT500-FC|3049
gid://shopify/Product/4334999633954|Profitec E61 Flow Control Device|Profitec|PRO-FCD|299
gid://shopify/Product/5430583105|Profitec Pro 500 Espresso Machine w/ PID|Profitec|SA-PRO-PT500-B23|2779
gid://shopify/Product/8024094343202|Eureka Olympus 75 E |SR114| - Store Demo|Eureka|OB-2507-SR114-CG-EUR-OLY|1250
gid://shopify/Product/8024094212130|Eureka Atom Excellence 65 Grinder - White |SR112| - Store Demo|Eureka|OB-2507-SR112-EUR-ATME-65-W|1133.3
gid://shopify/Product/8024092672034|Eureka Atom W 75 Grind By Weight Espresso Grinder - Matte Black |YYC-163| - Store Demo|Eureka|OB-2507-YYC-163-EUR-ATMW-75-B|2005.15
gid://shopify/Product/8020475084834|Eureka Mignon Libra 65 AP Grind by Weight - Chrome |667| - Return|Eureka|OB-2507-667-EUR-MIG-L65-C|1079.2
gid://shopify/Product/8020467941410|Eureka Atom Excellence 65 Grinder - Ferrari Red |660| - Used|Eureka|OB-2507-660-EUR-ATME-65-R|1052.35
gid://shopify/Product/8020465254434|Eureka Mignon Libra 65 AP Grind by Weight - Chrome |657| - Return|Eureka|OB-2507-657-EUR-MIG-L65-C|1079.2
gid://shopify/Product/7987858243618|Eureka Mignon Zero - Blue|Eureka|CG-EUR-Z-B|599
gid://shopify/Product/7987858210850|Eureka Mignon Zero - Pale Blue|Eureka|CG-EUR-Z-PB|599
gid://shopify/Product/7987858178082|Eureka Mignon Zero - Silver|Eureka|CG-EUR-Z-S|599
gid://shopify/Product/7987858145314|Eureka Mignon Zero - Yellow|Eureka|CG-EUR-Z-Y|599
gid://shopify/Product/7987858079778|Eureka Mignon Zero - Red|Eureka|CG-EUR-Z-R|599
gid://shopify/Product/7987852476450|Eureka Mignon Libra 65 AP Grind by Weight - Silver|Eureka|EUR-MIG-L65-S|1299
gid://shopify/Product/7987849429026|Eureka Mignon Manuale Grinder - Black|Eureka|EUR-MIN-B|399
gid://shopify/Product/7981221249058|Eureka Mignon Silenzio 55 Grinder - Yellow|Eureka|CG-EUR-SZ-55-Y|699
gid://shopify/Product/7981141950498|Eureka Mignon Zero 65 AP – Red|Eureka|EUR-MIG-Z65-R|749
gid://shopify/Product/7981141917730|Eureka Mignon Zero 65 AP – Silver|Eureka|EUR-MIG-Z65-S|749
gid://shopify/Product/7959051567138|Eureka Black Diamond All-Purpose Burr Set|Eureka|EUR-B65-AP|250
gid://shopify/Product/7959051501602|Eureka Black Diamond Espresso Burr Set|Eureka|EUR-B65-E|195
gid://shopify/Product/7959051436066|Eureka Black Diamond Brew Burr Set|Eureka|EUR-B65-B|195
gid://shopify/Product/7959051075618|Eureka Black Diamond Specialty Burr Set|Eureka|EUR-B65-S|195
gid://shopify/Product/7958408724514|Eureka Mignon Zero - Black w/ Black Spout|Eureka|CG-EUR-Z-BB|499
gid://shopify/Product/7958408691746|Eureka Mignon Zero - White w/ Black Spout|Eureka|CG-EUR-Z-WB|499
gid://shopify/Product/7877878022178|Eureka Digital Scale Precisa with Bluetooth|Eureka|EUR-PRI-BL|150
gid://shopify/Product/7877877858338|Eureka Mignon Glass Bean Hopper|Eureka|EUR-GLH|235
gid://shopify/Product/7850754768930|Eureka Mignon Zero 65 AP - Chrome|Eureka|EUR-MIG-Z65-C|799
gid://shopify/Product/7850754670626|Eureka Mignon Zero 65 AP - White|Eureka|EUR-MIG-Z65-W|749
gid://shopify/Product/7850745659426|Eureka Mignon Libra 65 AP Grind by Weight - Red|Eureka|EUR-MIG-L65AP-R|1299
gid://shopify/Product/7850745528354|Eureka Mignon Libra 65 AP Grind by Weight - Chrome|Eureka|EUR-MIG-L65-C|1349
gid://shopify/Product/7850745495586|Eureka Mignon Libra 65 AP Grind by Weight - Dark Teal Blue|Eureka|EUR-MIG-L65AP-TB|1299
